,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
5548,720116450043,76.992636,52.288029,892159021d3ffff,45321.0,"Розничная торговля автомобильными деталями, узлами и принадлежностями в торговых объектах с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,30502.727272727272,11.0,335530.0
5549,720122450224,76.985629,52.262251,892159022a7ffff,47822.0,"Розничная торговля одеждой, обувью и текстильными изделиями на рынках",Малые предприятия (<= 5),ИП,7336.315789473684,19.0,139390.0
5550,720128450415,76.94993,52.289769,8921590240fffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,850.0,26.0,22100.0
5551,720130350429,76.943704,52.264665,8921590260fffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (<= 5),ИП,206275.0,12.0,2475300.0
5552,720201400752,76.990579,52.262058,892159023c3ffff,45321.0,"Розничная торговля автомобильными деталями, узлами и принадлежностями в торговых объектах с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,21507.5,16.0,344120.0
5553,720219401799,76.931227,52.298186,8921590249bffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,150150.0,17.0,2552550.0
5554,720220499051,76.941845,52.282261,8921590244fffff,47789.0,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,16786.458333333332,24.0,402875.0
5555,720225450383,76.925855,52.297459,89215910a67ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,,,
5556,720301450633,77.019298,52.293124,892159021a3ffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,1371.428571428571,7.0,9600.0
5557,720306350298,76.95143,52.267978,8921590263bffff,47291.0,"Прочая розничная торговля продуктами питания в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,327.16,25.0,8179.0
5558,720317400238,76.952032,52.292309,89215902407ffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,6625.0,16.0,106000.0
