,cluster,bin
794,8921539520fffff,5
795,89215395217ffff,5
796,8921539521bffff,3
797,89215395223ffff,12
798,89215395227ffff,5
799,8921539522bffff,12
800,89215395233ffff,4
801,89215395237ffff,7
802,8921539523bffff,9
803,89215395243ffff,40
804,89215395247ffff,2
805,8921539524bffff,98
806,89215395253ffff,28
807,89215395257ffff,9
808,8921539525bffff,4
809,89215395263ffff,9
810,89215395267ffff,2
811,8921539526bffff,21
812,8921539526fffff,15
813,89215395273ffff,1
814,89215395277ffff,14
815,8921539527bffff,10
816,89215395283ffff,8
817,89215395287ffff,2
818,8921539528bffff,1
819,8921539528fffff,4
820,89215395293ffff,6
821,89215395297ffff,1
822,8921539529bffff,1
823,892153952afffff,6
824,892153952bbffff,1
825,892153952c3ffff,9
826,892153952c7ffff,1
827,892153952cbffff,15
828,892153952cfffff,69
829,892153952d3ffff,3
830,892153952dbffff,11
831,89215395303ffff,11
832,89215395313ffff,8
833,89215395317ffff,1
834,8921539531bffff,5
835,89215395327ffff,1
836,8921539532fffff,1
837,89215395337ffff,28
838,89215395343ffff,1
839,89215395347ffff,1
840,8921539534fffff,4
841,89215395357ffff,1
842,8921539536bffff,1
843,8921539536fffff,2
844,89215395373ffff,6
845,8921539538bffff,5
846,8921539538fffff,1
847,89215395393ffff,1
848,892153953a7ffff,6
849,892153953abffff,31
850,892153953afffff,9
851,892153953c3ffff,65
852,892153953c7ffff,1
853,892153953cbffff,12
854,892153953cfffff,24
855,892153953d3ffff,7
856,89215395607ffff,1
857,8921539560bffff,4
858,89215395613ffff,2
859,89215395617ffff,2
860,8921539561bffff,8
861,89215395623ffff,5
862,8921539562bffff,1
863,8921539562fffff,1
864,8921539563bffff,2
865,89215395643ffff,33
866,89215395647ffff,13
867,8921539564bffff,14
868,8921539564fffff,9
869,89215395653ffff,6
870,89215395657ffff,21
871,8921539565bffff,7
872,89215395663ffff,5
873,89215395667ffff,4
874,8921539566bffff,12
875,8921539566fffff,3
876,89215395677ffff,2
877,8921539567bffff,17
878,89215395683ffff,1
879,89215395687ffff,3
880,8921539568fffff,1
881,89215395693ffff,3
882,8921539569bffff,7
883,892153956abffff,1
884,892153956bbffff,1
885,892153956c3ffff,3
886,892153956c7ffff,2
887,892153956cbffff,13
888,892153956cfffff,10
889,892153956d3ffff,22
890,892153956d7ffff,3
891,892153956dbffff,11
892,89215395c6bffff,3
893,89215395ea7ffff,1
894,89215395ec7ffff,1
895,89215395edbffff,3
896,8921539704fffff,4
897,8921539ad97ffff,1
898,8921539adb7ffff,1
